name,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,ranked_count,most_selected,most_transferred_in,top_element,transfers_made,most_captained,most_vice_captained,top_element_info.id,top_element_info.points,top_element_info
Gameweek 1,64,True,True,3383750,2023-08-11 17:30:00,0,127,False,False,False,False,False,0,355,1,395,0,355,19,395,14,0
Gameweek 2,44,True,True,3338487,2023-08-18 17:15:00,0,120,False,False,False,True,True,0,355,195,108,13130353,355,19,108,16,0
Gameweek 3,44,True,True,9368956,2023-08-25 17:30:00,0,128,False,False,False,True,True,0,355,108,216,17619532,355,19,216,19,0
Gameweek 4,72,True,True,4354697,2023-09-01 17:30:00,0,148,False,False,False,True,True,0,355,216,516,16035365,355,19,516,20,0
Gameweek 5,44,True,True,6211182,2023-09-16 10:00:00,0,102,False,False,False,True,True,0,355,516,344,14363988,355,19,344,13,0
Gameweek 6,68,True,True,4494759,2023-09-23 12:30:00,0,142,False,False,False,True,True,0,355,343,430,12109066,355,308,430,18,0
Gameweek 7,49,True,True,9335002,2023-09-30 10:00:00,0,156,False,False,False,True,True,0,355,430,60,15579302,355,308,60,23,0
Gameweek 8,44,True,True,10068163,2023-10-07 10:00:00,0,120,False,False,False,True,True,0,355,516,216,19444885,355,355,216,16,0
Gameweek 9,67,True,True,6931177,2023-10-21 10:00:00,0,152,False,False,False,True,True,0,355,60,423,11431916,355,308,423,17,0
Gameweek 10,66,True,True,9895223,2023-10-27 17:30:00,0,134,False,False,False,True,True,0,355,60,13,12428517,355,355,13,17,0
Gameweek 11,32,True,True,3242487,2023-11-04 11:00:00,0,107,False,False,False,True,True,0,355,311,678,10003311,355,308,678,22,0
Gameweek 12,64,True,True,299796,2023-11-11 11:00:00,0,129,False,False,False,True,True,0,355,526,308,11701013,355,355,308,16,0
Gameweek 13,46,True,True,10279974,2023-11-25 11:00:00,0,106,False,False,False,True,True,0,355,362,86,11743909,355,308,86,16,0
Gameweek 14,54,True,True,2753264,2023-12-02 13:30:00,0,114,False,False,False,True,True,0,355,108,109,9478613,355,355,109,14,0
Gameweek 15,35,True,True,6195999,2023-12-05 18:00:00,0,105,False,False,False,True,True,0,355,412,267,6838182,355,355,267,15,0
Gameweek 16,40,True,True,5303151,2023-12-09 11:00:00,0,112,False,False,False,True,True,0,355,362,516,8652679,355,308,516,17,0
Gameweek 17,44,True,True,4870645,2023-12-15 18:30:00,0,124,False,False,False,True,True,0,355,85,689,12222607,355,308,689,16,0
Gameweek 18,36,True,True,8853925,2023-12-21 18:30:00,0,101,False,False,False,True,True,0,355,60,85,9551699,355,308,85,17,0
Gameweek 19,38,True,True,237211,2023-12-26 11:00:00,0,105,False,False,False,True,True,0,355,85,468,7268356,308,516,468,17,0
Gameweek 20,59,True,True,351854,2023-12-30 11:00:00,0,134,False,False,False,True,True,0,19,343,362,9018331,355,308,362,18,0
Gameweek 21,47,True,True,6974406,2024-01-12 18:15:00,0,138,False,False,False,True,True,10526259,19,353,294,21743109,355,19,294,19,0
Gameweek 22,48,True,True,10464457,2024-01-30 18:00:00,0,128,False,False,False,True,True,10564383,19,349,757,10103114,355,19,757,21,0
Gameweek 23,57,True,True,2594325,2024-02-03 11:00:00,0,142,False,False,False,True,True,10575742,355,355,353,6462542,355,19,353,20,0
Gameweek 24,62,True,True,3605665,2024-02-10 11:00:00,0,131,False,False,False,True,True,10599683,355,294,540,9398962,355,19,540,17,0
Gameweek 25,73,True,True,6437835,2024-02-17 11:00:00,0,162,False,False,False,True,True,10623051,355,355,304,15083938,355,349,304,17,0
Gameweek 26,46,True,True,9564317,2024-02-24 13:30:00,0,128,False,False,False,True,True,10648230,355,557,526,15159296,355,19,526,20,0
Gameweek 27,63,True,True,10714675,2024-03-02 13:30:00,0,137,False,False,False,True,True,10669819,355,516,353,8349409,355,19,353,15,0
Gameweek 28,44,True,True,1000,2024-03-09 11:00:00,0,122,True,False,False,True,True,10689632,355,85,516,9115273,355,19,516,17,0
Gameweek 29,12,True,True,1542173,2024-03-16 13:30:00,0,78,False,True,False,True,True,10707338,355,516,279,28569859,355,60,279,13,0
Gameweek 30,0,False,False,0,2024-03-30 11:00:00,0,0,False,False,True,True,True,0,0,0,0,0,0,0,0,0,0
Gameweek 31,0,False,False,0,2024-04-02 17:00:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 32,0,False,False,0,2024-04-06 10:00:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 33,0,False,False,0,2024-04-13 10:00:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 34,0,False,False,0,2024-04-20 12:30:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 35,0,False,False,0,2024-04-27 12:30:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 36,0,False,False,0,2024-05-04 12:30:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 37,0,False,False,0,2024-05-11 12:30:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Gameweek 38,0,False,False,0,2024-05-19 13:30:00,0,0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
